ID,Name,Sex,Age,LastPrimary,Latitude,Longitude,Education,HHIncome,ReligiousAffil,Support24,TopIssue,RRPetition
1,Voter 1,M,51,NR,41.00544,-73.62954,Some College,100k-200k,Protestant,R,NR,NS
2,Voter 2,M,52,NR,41.04027,-73.63011,Some College,50k-100k,Protestant,R,NR,NS
3,Voter 3,F,54,NR,41.05734,-73.65044,Bachelor,Over 500k,Protestant,D,Economy,NS
4,Voter 4,M,59,NR,41.03255,-73.60403,Some College,100k-200k,Protestant,R,NR,NS
5,Voter 5,M,36,NR,41.06684,-73.57837,Some College,100k-200k,None,R,NR,NS
6,Voter 6,F,48,NR,41.04011,-73.57096,Some College,100k-200k,Protestant,R,NR,NS
7,Voter 7,F,65,NR,41.03618,-73.60417,Some College,50k-100k,Catholic,D,Environment,Signed
8,Voter 8,F,62,NR,41.04706,-73.56966,Bachelor,100k-200k,Protestant,D,Environment,Signed
9,Voter 9,M,70,D,41.02965,-73.62651,Bachelor,100k-200k,Protestant,R,NR,NS
10,Voter 10,F,38,NR,41.03263,-73.59133,Bachelor,100k-200k,Catholic,R,Economy,NS
11,Voter 11,F,40,NR,41.04547,-73.60693,HS,50k-100k,Catholic,R,NR,Signed
12,Voter 12,F,45,NR,41.04536,-73.58992,Bachelor,50k-100k,Catholic,D,NR,Signed
13,Voter 13,F,51,NR,41.03233,-73.67044,Bachelor,100k-200k,Catholic,R,Economy,NR
14,Voter 14,F,38,NR,41.06321,-73.61053,Bachelor,200k-300k,Catholic,R,Economy,Signed
15,Voter 15,F,77,NR,41.03281,-73.62825,Bachelor,200k-300k,Catholic,R,NR,Signed
16,Voter 16,F,60,NR,41.05741,-73.68882,Bachelor,200k-300k,Catholic,R,NR,NS
17,Voter 17,F,33,NR,41.04118,-73.56972,Bachelor,100k-200k,None,D,Womens,Signed
18,Voter 18,M,69,R,41.03117,-73.62782,Some College,Under 50k,Other,D,Womens,NR
19,Voter 19,M,56,NR,41.00554,-73.62958,HS,Under 50k,None,D,NR,NS
20,Voter 20,F,54,R,41.01884,-73.65476,Bachelor,50k-100k,Other,R,Parents,NR
21,Voter 21,M,34,NR,41.03577,-73.67164,NR,50k-100k,None,R,Parents,NS
22,Voter 22,F,33,NR,41.02255,-73.55554,HS,50k-100k,None,R,RFree,NR
23,Voter 23,F,53,NR,41.04486,-73.59036,HS,100k-200k,Protestant,R,Economy,NS
24,Voter 24,F,67,R,41.03489,-73.66831,HS,Under 50k,Protestant,R,NR,NS
25,Voter 25,M,88,NR,41.04722,-73.63724,HS,50k-100k,Protestant,R,NR,NR
26,Voter 26,F,48,R,41.03248,-73.57656,Some College,100k-200k,NR,D,NR,NS
27,Voter 27,M,36,NR,40.99923,-73.65874,Some College,50k-100k,None,R,Economy,NR
28,Voter 28,F,32,NR,41.13658,-73.64724,NR,50k-100k,None,D,NR,Signed
29,Voter 29,F,64,NR,41.04624,-73.67609,Bachelor,100k-200k,Catholic,D,NR,Signed
30,Voter 30,F,34,NR,41.08039,-73.63859,NR,200k-300k,None,D,NR,NR
31,Voter 31,M,35,NR,41.05629,-73.58218,HS,50k-100k,None,D,Womens,Signed
32,Voter 32,F,35,NR,41.04586,-73.60852,HS,50k-100k,None,D,Womens,Signed
33,Voter 33,M,56,NR,41.02816,-73.61879,NR,50k-100k,None,D,Womens,Signed
34,Voter 34,M,32,NR,41.02476,-73.61689,Some College,50k-100k,None,D,Womens,Signed
35,Voter 35,M,45,NR,41.02313,-73.62917,NR,50k-100k,NR,R,NR,NR
36,Voter 36,F,55,R,41.02683,-73.62729,HS,Under 50k,Other,R,Crime,NS
37,Voter 37,F,59,NR,41.02707,-73.56082,HS,Under 50k,Protestant,R,NR,NS
38,Voter 38,F,67,NR,41.02742,-73.62041,NR,Under 50k,Catholic,R,Parents,NS
39,Voter 39,M,68,R,41.02635,-73.61594,HS,Under 50k,Protestant,R,NR,NS
40,Voter 40,F,70,R,41.04979,-73.57195,NR,NR,NR,R,Parents,NS
41,Voter 41,F,70,R,41.03532,-73.56373,Some College,Under 50k,Protestant,R,NR,NS
42,Voter 42,M,82,R,41.10283,-73.70277,NR,Under 50k,Protestant,R,RFree,NS
43,Voter 43,M,92,NR,41.04825,-73.57733,HS,Under 50k,None,R,Womens,NS
44,Voter 44,M,97,R,41.07361,-73.61915,NR,Under 50k,Protestant,R,RFree,NS
45,Voter 45,M,32,NR,41.03372,-73.59086,Some College,Under 50k,Protestant,R,RFree,NS
46,Voter 46,M,34,R,41.00274,-73.65721,HS,NR,Catholic,R,NR,NS
47,Voter 47,F,70,NR,41.03127,-73.66537,NR,50k-100k,NR,R,NR,NS
48,Voter 48,M,73,R,41.05672,-73.57379,NR,Under 50k,Protestant,R,NR,NS
49,Voter 49,F,75,R,41.03504,-73.66319,HS,Under 50k,Protestant,R,NR,NS
50,Voter 50,F,94,R,41.03489,-73.66831,HS,Under 50k,Protestant,R,Parents,NS
51,Voter 51,F,38,R,41.03592,-73.57141,Bachelor,Under 50k,NR,R,Parents,NS
52,Voter 52,M,44,NR,41.04599,-73.60902,NR,Under 50k,NR,R,RFree,NS
53,Voter 53,M,52,NR,41.02835,-73.62622,HS,Under 50k,Other,R,Womens,NR
54,Voter 54,F,56,NR,41.04893,-73.57799,HS,Under 50k,Protestant,R,NR,NS
55,Voter 55,M,81,R,41.02771,-73.62235,Bachelor,Under 50k,Protestant,R,NR,NS
56,Voter 56,M,81,R,41.04415,-73.57712,NR,Under 50k,Protestant,R,RFree,NS
57,Voter 57,M,33,R,41.03665,-73.60445,NR,Under 50k,Protestant,R,RFree,NS
58,Voter 58,M,52,NR,41.02781,-73.56691,HS,Under 50k,NR,R,Parents,NS
59,Voter 59,M,53,R,41.03436,-73.59605,NR,NR,Protestant,R,Parents,NS
60,Voter 60,F,60,NR,41.02135,-73.61602,NR,Under 50k,Protestant,R,NR,NS
61,Voter 61,F,62,NR,41.04213,-73.56885,HS,Under 50k,Catholic,R,NR,NS
62,Voter 62,M,63,NR,41.00906,-73.65172,NR,Under 50k,NR,R,NR,NS
63,Voter 63,M,63,R,41.05193,-73.61729,HS,Under 50k,Protestant,R,Crime,NS
64,Voter 64,F,67,NR,41.03489,-73.58101,NR,Under 50k,NR,R,NR,NS
65,Voter 65,F,72,NR,41.00393,-73.65447,HS,Under 50k,Protestant,R,NR,NS
66,Voter 66,F,86,R,41.03359,-73.62168,Some College,Under 50k,Protestant,R,RFree,NS
67,Voter 67,F,51,R,41.02841,-73.56211,HS,Under 50k,NR,R,NR,NS
